Key,Content
battle_pre_draw_net_error,"الإشارة غير مستقرة. جاري إعادة الاتصال بساحة المعركة…"
battle_pre_draw_error,"قوات تستجيب..."
unit_attr_3,"نوع الضرر"
sort_type_name_2,"تم الحصول عليها مؤخرًا"
card_filter_0_2,"المُتَسبِّب في الضرر"
unit_attr_desc_7_7,"بر و جو"
clear,واضح
unit_attr_1,هجوم
card_filter_0_3,دبابة
card_filter_4_2,نادر
card_filter_4_4,أسطوري
unit_attr_desc_6_1,فردي
unlock_with_level_tips,"فتح مع المستويات"
card_filter_5_2,أرض
card_filter_4_3,ملحمي
unit_attr_8,"المستهدف المفضل"
unit_attr_2,الصحة
unit_attr_desc_11_5,زخرفة
unit_attr_desc_6_2,الانطلاقة
unit_attr_7,"نوع الوحدة المستهدفة"
filter,فلتر
status,الحالة
finish,أنهاء
merge,استدعاء
my_card,القوات
card_filter_5_4,هواء
not_obtain,"هذه الوحدة لم تُحصل بعد"
moveType,"نوع الحركة"
quality,الندرة
unit_attr_desc_7_4,هواء
upgrade,ترقية
card_to_collect,مجموعة
normal,عادي
sort,فرز
unit_attr_4,"سرعة الهجوم"
card_filter_0_1,محارب
unit_attr_5,"وقت الترقية"
unit_attr_9,التكلفة
unit_attr_desc_7_3,أرض
unit_attr_10,"سرعة الحركة"
unit_attr_6,"نوع الهجوم"
card_filter_0_4,أساسن
validity,"الصلاحية: {0} أيام"
gem_supply_advanced_title,"تذكرة متقدمة لمدة 30 يومًا"
daily_supply,"الإمداد اليومي"
gem_supply,"تصريح الجواهر"
gem_supply_basic_title,"تذكرة الاشتراك الأساسي لمدة 30 يومًا"
renew,تجديد
claim_daily,"احصل على المكافأة اليومية"
subscribe,اشتراك
vip_claim,"استلم المكافآت اليومية"
basic_supply,"الإمداد الأساسي"
vip_remain,"تم تفعيل VIP"
restore,استعادة
advanced_supply,"إمداد متقدم"
resource_not_enough_201,"الأحجار الكريمة غير كافية"
purchase,شراء
gf_tab_name_5,"حجر فورج"
growth_fund,"صندوق النمو"
get_more_army,"احصل على المزيد من الجنود"
gf_banner_desc_5_format,"استمتع باسترداد بقيمة <color=#ffe300><size=42>{0}</size></color> الحصري الخاص بك!"
choice_army_4,"اختر الجندي الأسطوري"
total_earned,"إجمالي المكتسب"
gf_banner_title_4,"صندوق نمو الجواهر"
gf_banner_desc_4_format,"استمتع باسترداد قيمة حصري <color=#ffe300><size=42>{0}</size></color> الخاصة بك!"
gf_shop_banner_desc,"ارتق بمستوى نقاط الخبرة الخاصة بك لتحصل على مكافآت غنية!"
build_your_own_army,"كوّن جيشك النهائي!"
troop_choice_pack,"حزمة اختيار الجندي"
gf_rwd_claim_cond,"افتح صندوق النمو للمطالبة بالمكافآت"
choice_army_5,"اختر الجندي الأسطوري"
skin_store,"مستحضرات التجميل"
vip_subscribe_now,"اشترك الآن"
shop_goods_105,أسبوع
shop_coin,"عملات معدنية"
buy_now,"أو اشتري الآن"
store_purchase_content,"عزيزي القائد،

لقد تم إكمال عملية الشراء الخاصة بك في متجر 89T بنجاح!
في هذه الرسالة، ستجد العناصر التي اشتريتها.

شكرًا لدعمك!
استمتع بمكافآتك واستمر في الفتوحات!

- شركة الحرب: الصعود"
resource_not_enough_101,"عملات غير كافية"
christmas_gift_chatBubble_1,"باقة الطراز الخاص بعيد الميلاد الأول"
immediate_receive,"احصل عليه الآن"
christmas_gift_2,"حزمة هدايا عيد الميلاد II"
christmas_pack_gift_desc,"المكافآت الدافئة لعيد الميلاد!"
christmas_gift_chatBubble_2,"حزمة الأزياء لعيد الميلاد II"
christmas_pack_desc,"أضيء عيد ميلادك!"
store_purchase_title,"شراء متجر 89T"
camp_avatar_pack_2_2,"حزمة سيد الأمواج الجلدية I"
