Key,Content
battle_pre_draw_net_error,"Sinyal tidak stabil. Menghubungkan kembali ke medan perang…"
battle_pre_draw_error,"Pasukan sedang merespons…"
unit_attr_3,"Jenis Kerusakan"
sort_type_name_2,"Baru Diperoleh"
card_filter_0_2,Penghancur
unit_attr_desc_7_7,"Tanah dan Udara"
clear,Bersihkan
unit_attr_1,Serang
card_filter_0_3,Tank
card_filter_4_2,Langka
card_filter_4_4,Legenda
unit_attr_desc_6_1,Tunggal
unlock_with_level_tips,"Buka dengan level"
card_filter_5_2,Tanah
card_filter_4_3,Epik
unit_attr_8,"Preferensi Target"
unit_attr_2,Kesehatan
unit_attr_desc_11_5,Dekorasi
unit_attr_desc_6_2,Splash
unit_attr_7,"Jenis Unit Ditargetkan"
filter,Penyaring
status,"Status: Kondisi"
finish,Selesai
merge,Gabung
my_card,Pasukan
card_filter_5_4,Udara
not_obtain,"Unit ini belum diperoleh"
moveType,"Jenis gerakan"
quality,Kelangkaan
unit_attr_desc_7_4,Udara
upgrade,Pembaruan
card_to_collect,Terkumpul
normal,Normal
sort,Urutkan
unit_attr_4,"Kecepatan Serang"
card_filter_0_1,Prajurit
unit_attr_5,"Waktunya Peningkatan"
unit_attr_9,Biaya
unit_attr_desc_7_3,Tanah
unit_attr_10,"Kecepatan Gerak"
unit_attr_6,"Jenis Serangan"
card_filter_0_4,"Pembunuh Bayaran"
validity,"Masa berlaku: {0} hari"
gem_supply_advanced_title,"30 Hari Tiket Lanjutan"
daily_supply,"Pasokan Harian"
gem_supply,"Permata Pass"
gem_supply_basic_title,"Paket Dasar 30 Hari"
renew,Perbarui
claim_daily,"Klaim Harian"
subscribe,Langganan
vip_claim,"Klaim Hadiah Harian"
basic_supply,"Pasokan Dasar"
vip_remain,"VIP aktif"
restore,Pulihkan
advanced_supply,"Pasokan Lanjutan"
resource_not_enough_201,"Permata Tidak Cukup"
purchase,Pembelian
gf_tab_name_5,"Batu Tempa"
growth_fund,"Dana Pertumbuhan"
get_more_army,"Dapatkan Lebih Banyak Prajurit"
gf_banner_desc_5_format,"Nikmati pengembalian nilai eksklusif <color=#ffe300><size=42>{0}</size></color> Anda!"
choice_army_4,"Pilih Prajurit Legendaris"
total_earned,"Total Diperoleh"
gf_banner_title_4,"Dana Pertumbuhan Permata"
gf_banner_desc_4_format,"Nikmati pengembalian nilai eksklusif Anda <color=#ffe300><size=42>{0}</size></color>!"
gf_shop_banner_desc,"Tingkatkan EXP Anda untuk mendapatkan hadiah yang melimpah!"
build_your_own_army,"Bangun pasukan terkuatmu!"
troop_choice_pack,"Paket Pilihan Prajurit"
gf_rwd_claim_cond,"Buka Dana Pertumbuhan untuk mengklaim hadiah"
choice_army_5,"Pilih Prajurit Mitos"
skin_store,Kosmetik
vip_subscribe_now,"Berlangganan Sekarang"
shop_goods_105,Minggu
shop_coin,Koin
buy_now,"Beli Sekarang"
store_purchase_content,"Komandan yang Terhormat,

Pembelian terbaru Anda di 89T Store telah berhasil diselesaikan! Dalam email ini, Anda akan menemukan item yang telah dibeli.

Terima kasih atas dukungan Anda! Nikmati hadiah Anda, dan teruslah menaklukkan!

- War Inc: Rising"
resource_not_enough_101,"Koin Tidak Cukup"
christmas_gift_chatBubble_1,"Paket dekorasi Natal 1"
immediate_receive,"Dapatkan Sekarang"
christmas_gift_2,"Paket hadiah Natal 2"
christmas_pack_gift_desc,"Natal yang menghangatkan hati, hadiah-hadiah yang luar biasa!"
christmas_gift_chatBubble_2,"Paket dekorasi Natal 2"
christmas_pack_desc,"Tambahkan sentuhan istimewa pada perayaan Natal Anda!"
store_purchase_title,"Pembelian di Toko 89T"
camp_avatar_pack_2_2,"Penguasa Pasang Paket Hadiah Kostum 1"
camp_emoji_pack_2_2,"Penguasa Pasang Paket Kostum 2"
camp_avatar_pack_2_1,"Raja Api Paket Hadiah Kostum 1"
camp_emoji_pack_2_1,"Raja Api Paket Kostum 2"
vip_desc,"Dapatkan 10 Batu Abadi setiap hari."
theme,Tema
source_shop,"Dapatkan dari toko."
resource_2,"Batu Keabadian"
christmas_gift_1,"Paket hadiah Natal 1"
resource_not_enough_common,"Sumber Daya Tidak Cukup"
