Key,Content
battle_pre_draw_net_error,網路波動，戰場訊號重連中…
battle_pre_draw_error,士兵響應中…
unit_attr_3,傷害類型
sort_type_name_2,最近獲得
card_filter_0_2,輸出
unit_attr_desc_7_7,地面和空中
clear,清除
unit_attr_1,攻擊
card_filter_0_3,坦克
card_filter_4_2,稀有
card_filter_4_4,傳奇
unit_attr_desc_6_1,單體
unlock_with_level_tips,隨關卡解鎖
card_filter_5_2,地面
card_filter_4_3,史詩
unit_attr_8,選敵偏好
unit_attr_2,血量
unit_attr_desc_11_5,裝飾
unit_attr_desc_6_2,濺射
unit_attr_7,目標類型
filter,篩選
status,狀態
finish,完成
merge,合併
my_card,士兵
card_filter_5_4,飛行
not_obtain,尚未獲得該士兵
moveType,移動方式
quality,稀有度
unit_attr_desc_7_4,空中
upgrade,升級
card_to_collect,已收集
normal,基礎
sort,排序
unit_attr_4,攻擊速度
card_filter_0_1,戰士
unit_attr_5,升級時間
unit_attr_9,水費
unit_attr_desc_7_3,地面
unit_attr_10,移動速度
unit_attr_6,攻擊方式
card_filter_0_4,刺客
validity,有效期限：{0}天
gem_supply_advanced_title,30天高級月卡
daily_supply,每日補給
gem_supply,寶石月卡
gem_supply_basic_title,30天基礎月卡
renew,續訂
claim_daily,每日領取
subscribe,訂閱
vip_claim,領取每日獎勵
basic_supply,基礎補給
vip_remain,VIP生效
restore,恢復
advanced_supply,進階補給
resource_not_enough_201,寶石不足
purchase,購買
gf_tab_name_5,鍛造石
growth_fund,成長基金
get_more_army,獲取更多士兵
gf_banner_desc_5_format,"享受屬於你的 <color=#ffe300><size=42>{0}</size></color> 超值返利！"
choice_army_4,選擇傳奇士兵
total_earned,累計獲取
gf_banner_title_4,寶石成長基金
gf_banner_desc_4_format,"享受屬於你的 <color=#ffe300><size=42>{0}</size></color> 超值返利！"
gf_shop_banner_desc,提升經驗值等級，贏取豐厚獎勵！
build_your_own_army,打造你的超級軍團！
troop_choice_pack,士兵自選禮包
gf_rwd_claim_cond,解鎖成長基金以領取豐厚獎勵
choice_army_5,選擇神話士兵
skin_store,裝扮
vip_subscribe_now,現在訂閱
shop_goods_105,星期
shop_coin,金幣
buy_now,立即購買
store_purchase_content,"親愛的指揮官，

您在89T商店的最近購買已經成功完成！
在這封郵件中，您將找到所購買的物品。

感謝您的支持！
享受您的獎勵，並繼續征服天下！

- 戰爭公司：崛起"
resource_not_enough_101,金幣不足
christmas_gift_chatBubble_1,聖誕氛圍裝扮包1
immediate_receive,立即獲得
christmas_gift_2,聖誕饋禮包2
christmas_pack_gift_desc,暖心聖誕，好禮禮物！
christmas_gift_chatBubble_2,聖誕氛圍裝扮包2
christmas_pack_desc,點綴你的聖誕時光！
store_purchase_title,89T商店購買
camp_avatar_pack_2_2,潮汐領主裝扮禮包1
camp_emoji_pack_2_2,潮汐領主裝扮禮包2
camp_avatar_pack_2_1,烈焰主宰裝扮禮包1
camp_emoji_pack_2_1,烈焰主宰裝扮禮包2
vip_desc,每天領取10個永恆石。
theme,場景主題
source_shop,從商店中獲得。
resource_2,永恆石
christmas_gift_1,聖誕饋禮包1
resource_not_enough_common,所需資源不足
gem_supply_bubble_desc,"<size=40><color=#037ddc>30天基礎月卡</color></size>

1.每次購買30天基礎月卡，可立即獲得{0}寶石與為期30天的月卡生效時間。

2.月卡生效期間，每日可領取{1}寶石（每日UTC 00:00 刷新）。月卡生效期間未領取的寶石，將不會返還。

<size=40><color=#037ddc>30天進階月卡</color></size>

1.每次購買30天進階月卡，可立即獲得{2}寶石與為期30天的月卡生效時間。

2.月卡生效期間，每日可領取{3}寶石（每日UTC 00:00 刷新）。月卡生效期間未領取的寶石，將不會返還。"
gf_tab_name_4,寶石
camp_pack_desc,解鎖限定龍個性裝扮！
gf_banner_title_5,鍛造石成長基金
refresh_in,刷新於
pack_off,{0}%折扣
gem_supply_daily_title,月卡權益
pack_value,"{0}%
價值"
purchased,已購買
exchange_count_msg,請選擇你要兌換的商品數量。
vip_claim_desc,每天可領額外永恆石！
shop_desc_106,"訂閱期間：1 個月。
免費試用：享受 3 天免費試用！試用期結束後，每月將收取 {0}。
自動續訂：VIP 會員是每月自動續訂。除非你在當前訂閱期結束前至少 24 小時取消，否則你的帳戶將自動扣款以續訂下個月。
取消續訂：購買後，你可以在 Google Play 帳戶設置中管理和關閉自動續訂。

啟動此訂閱後，你將獲得：
1）每天 10 顆永恆石。"
