Key,Content
battle_pre_draw_net_error,"สัญญาณไม่เสถียร กำลังเชื่อมต่อเข้าสู่สนามรบอีกครั้ง..."
battle_pre_draw_error,กองทหารกำลังตอบสนอง...
unit_attr_3,ประเภทความเสียหาย
sort_type_name_2,เพิ่งได้รับ
card_filter_0_2,ตัวทำความเสียหาย
unit_attr_desc_7_7,ภาคพื้นดินและอากาศ
clear,เคลียร์
unit_attr_1,โจมตี
card_filter_0_3,แทงค์
card_filter_4_2,หายาก
card_filter_4_4,ตำนาน
unit_attr_desc_6_1,เดี่ยว
unlock_with_level_tips,ปลดล็อคด้วยระดับ
card_filter_5_2,พื้น
card_filter_4_3,มหากาพย์
unit_attr_8,เป้าหมายที่ต้องการ
unit_attr_2,สุขภาพ
unit_attr_desc_11_5,การตกแต่ง
unit_attr_desc_6_2,สแปลช
unit_attr_7,ประเภทหน่วยที่ถูกกำหนดเป้าหมาย
filter,ตัวกรอง
status,สถานะ
finish,เสร็จสิ้น
merge,อัญเชิญ
my_card,กองกำลัง
card_filter_5_4,อากาศ
not_obtain,ยังไม่ได้รับหน่วยนี้
moveType,ประเภทของการเคลื่อนไหว
quality,ความหายาก
unit_attr_desc_7_4,อากาศ
upgrade,อัปเกรด
card_to_collect,สะสม
normal,ปกติ
sort,เรียงลำดับ
unit_attr_4,ความเร็วในการโจมตี
card_filter_0_1,นักรบ
unit_attr_5,อัปเกรดเวลา
unit_attr_9,ค่าใช้จ่าย
unit_attr_desc_7_3,ฐาน
unit_attr_10,ความเร็วในการเคลื่อนที่
unit_attr_6,ประเภทการโจมตี
card_filter_0_4,นักฆ่า
validity,"ระยะเวลาใช้งาน: {0} วัน"
gem_supply_advanced_title,"บัตรผ่านขั้นสูง 30 วัน"
daily_supply,เสบียงประจำวัน
gem_supply,บัตรอัญมณี
gem_supply_basic_title,"บัตรผ่านพื้นฐาน 30 วัน"
renew,ต่ออายุ
claim_daily,รับรางวัลประจำวัน
subscribe,การสมัครสมาชิก
vip_claim,รับรางวัลประจำวัน
basic_supply,อุปทานพื้นฐาน
vip_remain,"VIP ใช้งานอยู่"
restore,กู้คืน
advanced_supply,การสนับสนุนขั้นสูง
resource_not_enough_201,อัญมณีไม่พอ
purchase,ซื้อ
gf_tab_name_5,ฟอร์จสโตน
growth_fund,กองทุนการเติบโต
get_more_army,รับทหารเพิ่ม
gf_banner_desc_5_format,"เพลิดเพลินกับการคืนเงินมูลค่าพิเศษ <color=#ffe300><size=42>{0}</size></color> ของคุณ!"
choice_army_4,เลือกทหารในตำนาน
total_earned,ยอดรวมที่ได้รับ
gf_banner_title_4,กองทุนการเติบโตของอัญมณี
gf_banner_desc_4_format,"เพลิดเพลินไปกับโบนัสคืนเงินมูลค่าพิเศษ <color=#ffe300><size=42>{0}</size></color> ของคุณ!"
gf_shop_banner_desc,"อัปเกรด EXP ของคุณเพื่อรับรางวัลมากมาย!"
build_your_own_army,สร้างกองทัพที่แข็งแกร่งของคุณ!
troop_choice_pack,ชุดเลือกทหาร
gf_rwd_claim_cond,ปลดล็อกกองทุนการเติบโตเพื่อรับรางวัล
choice_army_5,เลือกทหารในตำนาน
skin_store,เครื่องสำอาง
vip_subscribe_now,สมัครเลยตอนนี้
shop_goods_105,สัปดาห์
shop_coin,เหรียญ
buy_now,หรือซื้อเลย
store_purchase_content,"เรียน ผู้บัญชาการ

การซื้อของคุณใน 89T Store เสร็จสมบูรณ์เรียบร้อยแล้ว! 
ในอีเมลนี้ คุณจะพบกับไอเทมที่ซื้อมา

ขอบคุณสำหรับการสนับสนุนของคุณ! 
ขอให้เพลิดเพลินกับรางวัลของคุณและต่อสู้เพื่อชัยชนะต่อไป!

- War Inc: Rising"
resource_not_enough_101,เหรียญไม่เพียงพอ
christmas_gift_chatBubble_1,"แพ็กสไตล์คริสต์มาส I"
immediate_receive,รับตอนนี้
christmas_gift_2,"แพ็คของขวัญคริสต์มาส II"
christmas_pack_gift_desc,ของรางวัลอบอุ่นรับคริสต์มาส!
christmas_gift_chatBubble_2,"แพ็คสไตล์คริสต์มาส II"
christmas_pack_desc,ส่องสว่างคริสต์มาสของคุณ!
store_purchase_title,"การซื้อจากร้าน 89T"
camp_avatar_pack_2_2,"แพ็คสกิน ลอร์ดแห่งกระแสน้ำ I"
camp_emoji_pack_2_2,"ลอร์ดแห่งกระแสน้ำ ชุดสกิน II"
camp_avatar_pack_2_1,"Blazeking ชุดสกิน I"
camp_emoji_pack_2_1,"แพ็คสกิน Blazeking II"
vip_desc,"รับ 10 หินนิรันดร์ทุกวัน"
theme,ธีมส์
source_shop,รับจากทางร้านครับ.
resource_2,ศิลานิรันดร์
christmas_gift_1,"แพ็คของขวัญคริสต์มาส I"
resource_not_enough_common,ทรัพยากรไม่เพียงพอ
gem_supply_bubble_desc,"<size=40><color=#037ddc>บัตรพื้นฐาน 30 วัน</color></size>

1.เมื่อซื้อ คุณจะได้รับ {0} อัญมณีทันทีและใช้งานบัตรได้เป็นเวลา 30 วัน

2.ในระหว่างช่วงเวลาของบัตร คุณสามารถรับ {1} อัญมณีรายวัน (รีเซ็ตที่ UTC 00:00) อัญมณีรายวันที่ไม่ได้รับจะไม่ถูกคืนหลังจากบัตรหมดอายุ

<size=40><color=#037ddc>บัตรขั้นสูง 30 วัน</color></size>

1.เมื่อซื้อ คุณจะได้รับ {2} อัญมณีทันทีและใช้งานบัตรได้เป็นเวลา 30 วัน

2.ในระหว่างช่วงเวลาของบัตร คุณสามารถรับ {3} อัญมณีรายวัน (รีเซ็ตที่ UTC 00:00) อัญมณีรายวันที่ไม่ได้รับจะไม่ถูกคืนหลังจากบัตรหมดอายุ"
gf_tab_name_4,อัญมณี
camp_pack_desc,ปลดล็อกสกินมังกรสุดพิเศษ!
gf_banner_title_5,กองทุนเติบโตหินหลอม
refresh_in,รีเฟรชใน
pack_off,"{0}% ลดราคา"
gem_supply_daily_title,รางวัลพาส
