Key,Content
battle_pre_draw_net_error,"Sinyal kararsız. Savaş alanına yeniden bağlanılıyor…"
battle_pre_draw_error,"Birlikler yanıt veriyor..."
unit_attr_3,"Hasar Türü"
sort_type_name_2,"Son Zamanlarda Edinildi"
card_filter_0_2,"Hasar Verici"
unit_attr_desc_7_7,"Yer ve Hava"
clear,Temizle
unit_attr_1,Saldırı
card_filter_0_3,Tank
card_filter_4_2,Nadir
card_filter_4_4,Efsanevi
unit_attr_desc_6_1,Tekli
unlock_with_level_tips,"Seviyelerle kilidi aç"
card_filter_5_2,Zemin
card_filter_4_3,Epik
unit_attr_8,"Tercih Edilen Hedef"
unit_attr_2,Sağlık
unit_attr_desc_11_5,Dekorasyon
unit_attr_desc_6_2,"Giriş Ekranı"
unit_attr_7,"Hedef Birim Türü"
filter,Filtre
status,Durum
finish,Bitir
merge,Birleştir
my_card,Birlikler
card_filter_5_4,Hava
not_obtain,"Bu birim henüz elde edilmedi"
moveType,"Hareket türü"
quality,Nadirlik
unit_attr_desc_7_4,Hava
upgrade,Yükselt
card_to_collect,Toplandı
normal,Normal
sort,Sırala
unit_attr_4,"Saldırı Hızı"
card_filter_0_1,Savaşçı
unit_attr_5,"Yükseltme Zamanı"
unit_attr_9,Maliyet
unit_attr_desc_7_3,Zemin
unit_attr_10,"Hareket Hızı"
unit_attr_6,"Saldırı Türü"
card_filter_0_4,Suikastçi
validity,"Geçerlilik: {0} gün"
gem_supply_advanced_title,"30 Günlük Gelişmiş Geçiş"
daily_supply,"Günlük Tedarik"
gem_supply,"Mücevher Geçişi"
gem_supply_basic_title,"30 Günlük Temel Geçiş"
renew,Yenile
claim_daily,"Günlük Ödül Al"
subscribe,Abonelik
vip_claim,"Günlük Ödülleri Talep Et"
basic_supply,"Temel Tedarik"
vip_remain,"VIP aktif"
restore,"Geri Yükle"
advanced_supply,"Gelişmiş Tedarik"
resource_not_enough_201,"Yeterli Mücevher Yok"
purchase,"Satın Al"
gf_tab_name_5,"Demir Taş"
growth_fund,"Büyüme Fonu"
get_more_army,"Daha Fazla Asker Alın"
gf_banner_desc_5_format,"Keyfini çıkarın özel <color=#ffe300><size=42>{0}</size></color> değer iadenizin!"
choice_army_4,"Efsanevi Asker Seç"
total_earned,"Toplam Elde Edilen"
gf_banner_title_4,"Mücevher Büyüme Fonu"
gf_banner_desc_4_format,"Özel <color=#ffe300><size=42>{0}</size></color> değer iadenizin keyfini çıkarın!"
gf_shop_banner_desc,"Deneyim puanınızı artırarak zengin ödüller kazanın!"
build_your_own_army,"En güçlü ordunu kur!"
troop_choice_pack,"Asker Seçim Paketi"
gf_rwd_claim_cond,"Büyüme Fonu'nu açarak ödülleri alın."
choice_army_5,"Mistik Asker Seç"
skin_store,"Makyaj malzemeleri"
vip_subscribe_now,"Şimdi Abone Ol"
shop_goods_105,Hafta
shop_coin,Paralar
buy_now,"Veya Şimdi Satın Alın"
store_purchase_content,"Sayın Komutan,

89T Mağazası'ndaki son satın alımınız başarıyla tamamlandı!
Bu e-postada satın aldığınız öğeleri bulacaksınız.

Desteğiniz için teşekkür ederiz! Ödüllerinizin tadını çıkarın ve fethetmeye devam edin!

- War Inc: Rising"
resource_not_enough_101,"Yeterli Altın Yok"
christmas_gift_chatBubble_1,"Noel Tarzı Paket I"
immediate_receive,"Şimdi Mevcut"
christmas_gift_2,"Noel Hediye Paketi II"
christmas_pack_gift_desc,"Sıcak Noel Hediyeleri!"
christmas_gift_chatBubble_2,"Noel Tarzı Paket II"
christmas_pack_desc,"Noelinizi Aydınlatın!"
store_purchase_title,"89T Mağaza Satın Alma"
camp_avatar_pack_2_2,"Dalga Lordu Cilt Paketi I"
camp_emoji_pack_2_2,"Dalga Lordu Görünüm Paketi II"
camp_avatar_pack_2_1,"Ateş Kralı Cilt Paketi I"
camp_emoji_pack_2_1,"Ateş Kralı Görünüm Paketi II"
vip_desc,"Her gün 10 Ebedi Taş kazanın."
theme,Temalar
source_shop,"Mağazadan alın."
resource_2,"Ebediyet Taşı"
christmas_gift_1,"Noel Hediye Paketi I"
resource_not_enough_common,"Yeterli Kaynak Yok"
gem_supply_bubble_desc,"<size=40><color=#037ddc>30 Günlük Temel Geçiş</color></size>

1. Satın alındığında, anında {0} Mücevher al ve geçişi 30 gün boyunca etkinleştir.

2. Geçiş süresi boyunca, her gün {1} Mücevher talep edebilirsin (saat UTC 00:00'da sıfırlanır).
Kullanılmamış günlük Mücevherler geçiş süresi sona erdikten sonra iade edilmeyecektir.

<size=40><color=#037ddc>30 Günlük İleri Düzey Geçiş</color></size>

1. Satın alındığında, anında {2} Mücevher al ve geçişi 30 gün boyunca etkinleştir.

2. Geçiş süresi boyunca, her gün {3} Mücevher talep edebilirsin (saat UTC 00:00'da sıfırlanır).
Kullanılmamış günlük Mücevherler geçiş süresi sona erdikten sonra iade edilmeyecektir."
gf_tab_name_4,"Değerli Taşlar"
camp_pack_desc,"Özel Ejderha Kostümlerinin Kilidini Açın!"
gf_banner_title_5,"Forge Stone Büyüme Fonu"
refresh_in,"Yenileme süresi"
pack_off,"{0}% İndirim"
gem_supply_daily_title,"Pass Ödülleri"
pack_value,"{0}% 
değer"
purchased,"Satın Alındı"
exchange_count_msg,"Lütfen değiştirmek istediğiniz öğe miktarını seçin."
vip_claim_desc,"Günlük Ekstra Sonsuz Taşlar!"
shop_desc_106,"Abonelik süresi: 1 ay.
Ücretsiz deneme: 3 günlük ÜCRETSİZ denemenin tadını çıkarın! Deneme süresi sona erdikten sonra, her ay {0} ücretlendirileceksiniz.
Otomatik yenileme: VIP üyelik, aylık tekrarlayan bir aboneliktir. Hesabınız, mevcut dönemin bitiminden en az 24 saat önce iptal etmediğiniz sürece, bir sonraki dönem için otomatik olarak ücretlendirilecektir.
Yenilemeyi iptal et: Satın aldıktan sonra Google Play hesabınızın ayarlarına giderek aboneliği yönetebilir ve otomatik yenilemeyi kapatabilirsiniz.

Bu aboneliği etkinleştirildiğinde şu hizmetleri alacaksınız:
1) Her gün 10 Ebedi Taş."
purchase_limit,"Sınırlı Teklif"
resource_not_enough_102,"Yeterli Sonsuzluk Taşı Yok"
shop_desc_105,"Abonelik süresi: 1 hafta.  
Ücretsiz deneme: 3 günlük ÜCRETSİZ denemeden yararlanın! Deneme süresi sona erdikten sonra haftalık olarak {0} ücretlendirileceksiniz.  
Otomatik yenileme: VIP üyelik, tekrarlayan bir haftalık aboneliktir. Hesabınız, geçerli dönem sona ermeden en az 24 saat önce iptal etmediğiniz sürece bir sonraki dönem için otomatik olarak ücretlendirilecektir.  
Yenilemeyi iptal et: Aboneliğin otomatik yenilemesini, satın alma işleminden sonra Google Play hesap ayarlarınıza giderek yönetebilir ve kapatabilirsiniz.

Bu aboneliği etkinleştirdiğinizde, şunları alacaksınız:  
1) Her gün 10 Ebedi Taş."
pack_first,"İlk Satın Alma Paketi"
go,Git
purchase_confirm_desc,"<color=#ffe300>{0}</color> harcayarak <color=#ffe300>{1}</color> satın almak ister misiniz?"
shop_desc_105_ios,"Abonelik süresi: 1 hafta.  
Ücretsiz deneme: 3 günlük ÜCRETSİZ denemenin keyfini çıkarın! Deneme süresi bittikten sonra, haftalık olarak {0} ile ücretlendirileceksiniz.  
Otomatik yenileme: VIP üyelik, haftalık olarak yinelenen bir aboneliktir. Mevcut dönemin bitiminden en az 24 saat önce iptal etmediğiniz sürece hesabınız bir sonraki dönem için otomatik olarak ücretlendirilecektir.  
Yenilemeyi iptal et: Satın alma işleminden sonra Apple hesap ayarlarından otomatik yenilemeyi yönetebilir veya kapatabilirsiniz.

Bu aboneliği etkinleştirmenizle birlikte alacaksınız:  
1) Her gün 10 Ebedi Taş."
shop_desc_106_ios,"Abonelik dönemi: 1 ay.
Ücretsiz deneme: 3 günlük ÜCRETSİZ denemenin keyfini çıkarın! Deneme sona erdikten sonra, aylık {0} ücret alınacaktır.
Otomatik yenileme: VIP üyelik, yinelenen aylık bir aboneliktir. Mevcut dönem sona ermeden en az 24 saat önce iptal etmezseniz hesabınız bir sonraki dönem için otomatik olarak ücretlendirilir.
Yenilemeyi iptal etme: Satın alım sonrasında Apple hesap ayarlarından otomatik yenilemeyi yönetebilir veya kapatabilirsiniz. 

Bu aboneliği etkinleştirdiğinizde:  
1) Her gün 10 Ebedi Taş alacaksınız."
beginner_bundle_title,"Mistik Asker Paketi"
shop_gem,Mücevherler
shop_tab_supply,Teklifler
shop_goods_106,Ay
strategy_name_30,"Kuşat VIII"
strategy_name_25,"Böl VII"
strategy_name_26,"Hücum V"
strategy_name_27,"Hücum VI"
strategy_name_28,"Arkadan VII"
strategy_name_29,"Kuşat VII"
strategy_name_17,"Arkadan IV"
strategy_name_18,"Arkadan V"
strategy_name_19,"Arkadan VI"
strategy_name_21,"Hücum II"
strategy_name_23,"Hücum III"
strategy_name_24,"Hücum IV"
strategy_name_15,"Arkadan II"
strategy_name_16,"Arkadan III"
strategy_name_12,"Kuşat IV"
strategy_name_13,"Kuşat V"
strategy_name_14,"Kuşat VI"
strategy_name_7,"Böl IV"
strategy_name_8,"Böl V"
strategy_name_9,"Böl VI"
strategy_name_10,"Kuşat II"
strategy_name_11,"Kuşat III"
strategy_name_5,"Böl II"
strategy_name_6,"Böl III"
skill_attr_30,Kaçınma
skill_attr_29,Yığınlar
skill_attr_28,Sağlık
